28807312,28880548,99.75%
29377648,29424853,99.84%
27762936,27881538,99.57%
28587334,28787149,99.31%
29716381,29920182,99.32%
27434720,27608133,99.37%
29238875,29326668,99.70%
28489698,28689147,99.30%
28306628,28463479,99.45%
27699618,27867278,99.40%
30090623,30199038,99.64%
28878113,28965398,99.70%
27860490,27998738,99.51%
29990505,30099957,99.64%
29826690,30000828,99.42%
28949809,29104248,99.47%
28747583,28781558,99.88%
27454179,27560911,99.61%
28820033,28977833,99.46%
28522360,28720803,99.31%
29479931,29645192,99.44%
29085477,29139489,99.81%
28718756,28910444,99.34%
27582247,27809270,99.18%
28070928,28135832,99.77%
27994690,28177106,99.35%
28677069,28836329,99.45%
29164979,29403057,99.19%
29239526,29489491,99.15%
27519328,27709453,99.31%
27170948,27366986,99.28%
29147756,29338617,99.35%
29334914,29578671,99.18%
28139019,28279801,99.50%
29657181,29919993,99.12%
29303004,29492993,99.36%
29448755,29593646,99.51%
29610280,29710079,99.66%
27214747,27379723,99.40%
28673910,28749508,99.74%
28923147,29145675,99.24%
29040989,29197076,99.47%
29445383,29512380,99.77%
27382261,27493996,99.59%
27858660,28047171,99.33%
30021411,30073125,99.83%
27099057,27263218,99.40%
29396670,29600019,99.31%
29294556,29366692,99.75%
27767478,27867103,99.64%
28176519,28225215,99.83%
28637905,28762148,99.57%
29061443,29256063,99.33%
27459380,27667817,99.25%
27523000,27632829,99.60%
28006968,28074256,99.76%
27744082,27819420,99.73%
29426438,29604890,99.40%
29595317,29837561,99.19%
29373940,29429433,99.81%
28388831,28557132,99.41%
29495696,29534593,99.87%
30106860,30150928,99.85%
28186604,28261261,99.74%
27624806,27835032,99.24%
29297133,29455634,99.46%
27302690,27448842,99.47%
27347836,27554091,99.25%
29852274,30001772,99.50%
29669847,29876549,99.31%
27907747,27950432,99.85%
29803479,29845958,99.86%
28200428,28411853,99.26%
29855814,29933773,99.74%
28490663,28697001,99.28%
28413764,28501557,99.69%
27889537,27968573,99.72%
29795785,29911128,99.61%
29314046,29405422,99.69%
27882821,27977051,99.66%
29834494,30098008,99.12%
29970791,30106277,99.55%
29730141,29808890,99.74%
29649097,29818159,99.43%
29016949,29279126,99.10%
27442079,27627376,99.33%
29301230,29530404,99.22%
27891256,28103449,99.24%
27839513,27958832,99.57%
29927323,30145269,99.28%
29764765,29928889,99.45%
27554230,27626464,99.74%
29229955,29322631,99.68%
28150775,28272342,99.57%
27698994,27833529,99.52%
29596642,29721999,99.58%
28513318,28648854,99.53%
28509262,28741345,99.19%
27083996,27272175,99.31%
29829867,29992680,99.46%
27264801,27348296,99.69%
27884181,28105160,99.21%
27419408,27604860,99.33%
28868290,29063094,99.33%
27309782,27396547,99.68%
27751877,27990487,99.15%
28071752,28102669,99.89%
29229217,29261591,99.89%
28278025,28367801,99.68%
29582026,29735661,99.48%
29103532,29192243,99.70%
27036845,27221654,99.32%
29954623,30097124,99.53%
29172993,29317696,99.51%
28719303,28802945,99.71%
28007037,28057563,99.82%
28016167,28260650,99.13%
27888796,27935103,99.83%
29626579,29796369,99.43%
29831386,29963202,99.56%
29166902,29242030,99.74%
29523772,29759037,99.21%
27972693,28226188,99.10%
28173270,28400610,99.20%
28214731,28444992,99.19%
28299376,28506636,99.27%
28113300,28355414,99.15%
29483547,29674787,99.36%
29013275,29048403,99.88%
28557229,28612600,99.81%
29445709,29683999,99.20%
28573061,28721716,99.48%
29971106,30019133,99.84%
29462050,29643243,99.39%
29635722,29739271,99.65%
29460837,29670257,99.29%
29271837,29468909,99.33%
29897484,30126090,99.24%
30047026,30151032,99.66%
29063724,29199566,99.53%
27524063,27562361,99.86%
28092828,28213489,99.57%
27101155,27285183,99.33%
27463923,27609190,99.47%
27090777,27218679,99.53%
28562395,28704199,99.51%
27872895,28006473,99.52%
28506168,28580611,99.74%
29790891,29962287,99.43%
27351265,27514077,99.41%
29898571,30023035,99.59%
28585151,28673816,99.69%
28560090,28716284,99.46%
27644938,27761269,99.58%
29327360,29455698,99.56%
28137593,28281172,99.49%
29492204,29705195,99.28%
29708804,29959249,99.16%
29189035,29443630,99.14%
28875492,29128772,99.13%
28393428,28444818,99.82%
27807860,27889137,99.71%
29837538,29920609,99.72%
29259249,29305687,99.84%
28133698,28241286,99.62%
27272109,27482239,99.24%
28786044,28851958,99.77%
29465004,29601074,99.54%
30134977,30195952,99.80%
29725039,29809920,99.72%
29252308,29477819,99.23%
29710447,29863997,99.49%
27559285,27750461,99.31%
28889942,29044468,99.47%
27711986,27941303,99.18%
27785261,27987354,99.28%
29046385,29088355,99.86%
27379633,27422920,99.84%
28919525,29048172,99.56%
29550862,29792213,99.19%
29122238,29373945,99.14%
27255474,27473248,99.21%
29625839,29784060,99.47%
29000118,29047459,99.84%
29120672,29294282,99.41%
29720610,29878677,99.47%
29145181,29393342,99.16%
29516706,29677682,99.46%
28032103,28239033,99.27%
29597649,29846432,99.17%
27605241,27651927,99.83%
27278131,27389287,99.59%
29166844,29371687,99.30%
29979158,30168738,99.37%
28190927,28353429,99.43%
27786137,27815810,99.89%
29941393,30161873,99.27%
28181032,28285632,99.63%
28718012,28852410,99.53%
27563252,27787086,99.19%
28636735,28784583,99.49%
30110248,30175793,99.78%
28801770,28991689,99.34%
27497723,27683456,99.33%
27828502,28009354,99.35%
28016653,28095285,99.72%
28586209,28806734,99.23%
29256221,29333170,99.74%
28075576,28306447,99.18%
27901256,28066053,99.41%
28185795,28355838,99.40%
29514849,29675926,99.46%
27291650,27327359,99.87%
29473505,29605192,99.56%
29312229,29349865,99.87%
27621964,27735928,99.59%
27226998,27322320,99.65%
30026992,30141784,99.62%
28824886,28984995,99.45%
29950334,30003039,99.82%
28092509,28218999,99.55%
28944465,29064464,99.59%
29956102,29992541,99.88%
28540648,28668750,99.55%
29954845,30038210,99.72%
29737396,29770729,99.89%
29750348,30002278,99.16%
28314989,28452433,99.52%
29396398,29623043,99.23%
29335755,29370063,99.88%
29336563,29404259,99.77%
28001680,28090864,99.68%
27009581,27214985,99.25%
29404065,29454573,99.83%
27639308,27676129,99.87%
29133394,29309166,99.40%
29511340,29764051,99.15%
29212524,29441000,99.22%
27628792,27778998,99.46%
28466477,28616771,99.47%
27964984,28096661,99.53%
28885458,28948149,99.78%
29524011,29730206,99.31%
27928986,28107928,99.36%
27738038,27819067,99.71%
29066561,29218937,99.48%
28281260,28533255,99.12%
29917070,29993440,99.75%
28093216,28311011,99.23%
27581966,27822853,99.13%
27907072,28135021,99.19%
29806123,29919245,99.62%
29964586,30109896,99.52%
27364345,27399529,99.87%
28728334,28879820,99.48%
29537662,29567751,99.90%
27526768,27716446,99.32%
28633307,28742553,99.62%
29622568,29668732,99.84%
28158385,28225234,99.76%
28441510,28639672,99.31%
27740719,27924272,99.34%
27880460,28012083,99.53%
27248437,27372511,99.55%
28225941,28352564,99.55%
29874378,30054962,99.40%
29781537,29909822,99.57%
27099998,27250326,99.45%
29200669,29322237,99.59%
28923431,29020532,99.67%
28696368,28925841,99.21%
27298615,27466850,99.39%
28433849,28517293,99.71%
29490979,29575789,99.71%
29487774,29640173,99.49%
27393693,27489081,99.65%
28983292,29058477,99.74%
27162677,27227713,99.76%
29128819,29284619,99.47%
27593395,27622289,99.90%
27902575,28097334,99.31%
27103101,27317961,99.21%
28186325,28375811,99.33%
28553848,28705111,99.47%
27942943,28113286,99.39%
30134905,30166937,99.89%
28992917,29204223,99.28%
29760438,29821052,99.80%
29030295,29176548,99.50%
28459343,28663912,99.29%
27557603,27585653,99.90%
29220657,29303845,99.72%
28172005,28327302,99.45%
28688121,28830446,99.51%
27247421,27281069,99.88%
27300675,27447556,99.46%
30032883,30176983,99.52%
28231186,28355727,99.56%
29239147,29397062,99.46%
28815128,28950957,99.53%
,,99.51%
